algorithm,rank,frobenius_error,spectral_error
rsvd_srft,1,0.4171143162200387,0.1367751553134511
rsvd_srft,11,0.32469968481044936,0.0653860672145934
rsvd_srft,21,0.28301714641106873,0.04693581648460567
rsvd_srft,31,0.25428525418165887,0.03826576567657248
rsvd_srft,41,0.2316389988194279,0.03252833609564184
rsvd_srft,50,0.21556716225946676,0.02855493955749543
rsvd_srft,60,0.20036672617185913,0.02558465342179376
rsvd_srft,70,0.18749194165999986,0.02338560386743545
rsvd_srft,80,0.17577069802591896,0.0214703015861803
rsvd_srft,90,0.16524707189500773,0.01963262813597137
rsvd_srft,100,0.15593274377633765,0.01854703212973461
rrqr,1,0.5398745922270349,0.29706551954599997
rrqr,11,0.38206756711103057,0.10128035018588122
rrqr,21,0.34194511130285066,0.08120737385990133
rrqr,31,0.31456795405773885,0.06754436785967263
rrqr,41,0.2927626439201957,0.05773733522246341
rrqr,50,0.27466851087703886,0.04855101215437692
rrqr,60,0.2583051100429118,0.043956502886495795
rrqr,70,0.24355906705492983,0.040195313693390536
rrqr,80,0.23007226126444158,0.036196263194337636
rrqr,90,0.21796629551517496,0.03396201137063169
rrqr,100,0.207444263737445,0.030778971138579254
